NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.30 MBs,
 --- Num params: 37.812 mil. 
NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.30 MBs,
 --- Num params: 37.812 mil. 
Epoch 76, 76/150, training mseloss: 0.138678, testing mseloss: 0.154389
Epoch 77, 77/150, training mseloss: 0.138550, testing mseloss: 0.160599
Epoch 78, 78/150, training mseloss: 0.138288, testing mseloss: 0.155131
Epoch 79, 79/150, training mseloss: 0.138000, testing mseloss: 0.156685
Epoch 80, 80/150, training mseloss: 0.137952, testing mseloss: 0.161181
Epoch 81, 81/150, training mseloss: 0.137580, testing mseloss: 0.154142
Epoch 82, 82/150, training mseloss: 0.137554, testing mseloss: 0.160011
Epoch 83, 83/150, training mseloss: 0.137268, testing mseloss: 0.157535
Epoch 84, 84/150, training mseloss: 0.137071, testing mseloss: 0.158534
Epoch 85, 85/150, training mseloss: 0.136948, testing mseloss: 0.159003
Epoch 86, 86/150, training mseloss: 0.136618, testing mseloss: 0.157425
Epoch 87, 87/150, training mseloss: 0.136604, testing mseloss: 0.156958
Epoch 88, 88/150, training mseloss: 0.136231, testing mseloss: 0.154837
Epoch 89, 89/150, training mseloss: 0.136153, testing mseloss: 0.156404
Epoch 90, 90/150, training mseloss: 0.135981, testing mseloss: 0.160570
Epoch 91, 91/150, training mseloss: 0.135700, testing mseloss: 0.155592
Epoch 92, 92/150, training mseloss: 0.135686, testing mseloss: 0.164911
Epoch 93, 93/150, training mseloss: 0.135363, testing mseloss: 0.157582
Epoch 94, 94/150, training mseloss: 0.135440, testing mseloss: 0.155731
Epoch 95, 95/150, training mseloss: 0.135199, testing mseloss: 0.160842
Epoch 96, 96/150, training mseloss: 0.135029, testing mseloss: 0.157358
Epoch 97, 97/150, training mseloss: 0.134968, testing mseloss: 0.160584
Epoch 98, 98/150, training mseloss: 0.134631, testing mseloss: 0.155502
Epoch 99, 99/150, training mseloss: 0.134679, testing mseloss: 0.159261
Epoch 100, 100/150, training mseloss: 0.134328, testing mseloss: 0.156888
Epoch 101, 101/150, training mseloss: 0.134286, testing mseloss: 0.156790
Epoch 102, 102/150, training mseloss: 0.134203, testing mseloss: 0.161924
Epoch 103, 103/150, training mseloss: 0.133952, testing mseloss: 0.159109
Epoch 104, 104/150, training mseloss: 0.133983, testing mseloss: 0.160248
Epoch 105, 105/150, training mseloss: 0.133594, testing mseloss: 0.156532
Epoch 106, 106/150, training mseloss: 0.133587, testing mseloss: 0.158926
Epoch 107, 107/150, training mseloss: 0.133378, testing mseloss: 0.154890
Epoch 108, 108/150, training mseloss: 0.133231, testing mseloss: 0.156712
Epoch 109, 109/150, training mseloss: 0.133174, testing mseloss: 0.166623
Epoch 110, 110/150, training mseloss: 0.132905, testing mseloss: 0.153741
Epoch 111, 111/150, training mseloss: 0.132910, testing mseloss: 0.161826
Epoch 112, 112/150, training mseloss: 0.132608, testing mseloss: 0.156749
Epoch 113, 113/150, training mseloss: 0.132626, testing mseloss: 0.161642
Epoch 114, 114/150, training mseloss: 0.132535, testing mseloss: 0.158435
Epoch 115, 115/150, training mseloss: 0.132369, testing mseloss: 0.155703
Epoch 116, 116/150, training mseloss: 0.132313, testing mseloss: 0.163094
Epoch 117, 117/150, training mseloss: 0.132071, testing mseloss: 0.155972
Epoch 118, 118/150, training mseloss: 0.132064, testing mseloss: 0.157707
Epoch 119, 119/150, training mseloss: 0.131849, testing mseloss: 0.153494
Epoch 120, 120/150, training mseloss: 0.131829, testing mseloss: 0.156324
Epoch 121, 121/150, training mseloss: 0.131741, testing mseloss: 0.164727
Epoch 122, 122/150, training mseloss: 0.131579, testing mseloss: 0.154799
Epoch 123, 123/150, training mseloss: 0.131543, testing mseloss: 0.166713
Epoch 124, 124/150, training mseloss: 0.131285, testing mseloss: 0.157794
Epoch 125, 125/150, training mseloss: 0.131335, testing mseloss: 0.162113
Epoch 126, 126/150, training mseloss: 0.131188, testing mseloss: 0.153820
Epoch 127, 127/150, training mseloss: 0.131114, testing mseloss: 0.155408
Epoch 128, 128/150, training mseloss: 0.131029, testing mseloss: 0.165320
Epoch 129, 129/150, training mseloss: 0.130872, testing mseloss: 0.153650
Epoch 130, 130/150, training mseloss: 0.130852, testing mseloss: 0.158980
Epoch 131, 131/150, training mseloss: 0.130639, testing mseloss: 0.152773
Epoch 132, 132/150, training mseloss: 0.130680, testing mseloss: 0.160862
Epoch 133, 133/150, training mseloss: 0.130550, testing mseloss: 0.155428
Epoch 134, 134/150, training mseloss: 0.130473, testing mseloss: 0.155982
Epoch 135, 135/150, training mseloss: 0.130417, testing mseloss: 0.164346
Epoch 136, 136/150, training mseloss: 0.130200, testing mseloss: 0.154929
Epoch 137, 137/150, training mseloss: 0.130269, testing mseloss: 0.158783
Epoch 138, 138/150, training mseloss: 0.130042, testing mseloss: 0.150626
Epoch 139, 139/150, training mseloss: 0.130020, testing mseloss: 0.156514
Epoch 140, 140/150, training mseloss: 0.129958, testing mseloss: 0.157068
Epoch 141, 141/150, training mseloss: 0.129817, testing mseloss: 0.153369
Epoch 142, 142/150, training mseloss: 0.129851, testing mseloss: 0.157295
Epoch 143, 143/150, training mseloss: 0.129613, testing mseloss: 0.154117
Epoch 144, 144/150, training mseloss: 0.129680, testing mseloss: 0.155024
Epoch 145, 145/150, training mseloss: 0.129534, testing mseloss: 0.153731
Epoch 146, 146/150, training mseloss: 0.129453, testing mseloss: 0.152376
Epoch 147, 147/150, training mseloss: 0.130984, testing mseloss: 0.159173
Epoch 148, 148/150, training mseloss: 0.129485, testing mseloss: 0.152914
Epoch 149, 149/150, training mseloss: 0.129313, testing mseloss: 0.158142
Epoch 150, 150/150, training mseloss: 0.128984, testing mseloss: 0.152947
Model training complete
