NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.43 MBs,
 --- Num params: 37.846 mil. 
NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.43 MBs,
 --- Num params: 37.846 mil. 
Epoch 76, 76/150, training mseloss: 0.117177, testing mseloss: 0.129883
Epoch 77, 77/150, training mseloss: 0.117099, testing mseloss: 0.129468
Epoch 78, 78/150, training mseloss: 0.116985, testing mseloss: 0.134837
Epoch 79, 79/150, training mseloss: 0.116831, testing mseloss: 0.130278
Epoch 80, 80/150, training mseloss: 0.116805, testing mseloss: 0.133453
Epoch 81, 81/150, training mseloss: 0.116614, testing mseloss: 0.129829
Epoch 82, 82/150, training mseloss: 0.116570, testing mseloss: 0.128972
Epoch 83, 83/150, training mseloss: 0.116423, testing mseloss: 0.134756
Epoch 84, 84/150, training mseloss: 0.116368, testing mseloss: 0.129620
Epoch 85, 85/150, training mseloss: 0.116308, testing mseloss: 0.133644
Epoch 86, 86/150, training mseloss: 0.116124, testing mseloss: 0.131639
Epoch 87, 87/150, training mseloss: 0.116148, testing mseloss: 0.131828
Epoch 88, 88/150, training mseloss: 0.115971, testing mseloss: 0.129302
Epoch 89, 89/150, training mseloss: 0.115926, testing mseloss: 0.128739
Epoch 90, 90/150, training mseloss: 0.115817, testing mseloss: 0.138071
Epoch 91, 91/150, training mseloss: 0.115680, testing mseloss: 0.131296
Epoch 92, 92/150, training mseloss: 0.115680, testing mseloss: 0.135578
Epoch 93, 93/150, training mseloss: 0.115505, testing mseloss: 0.131926
Epoch 94, 94/150, training mseloss: 0.115499, testing mseloss: 0.131235
Epoch 95, 95/150, training mseloss: 0.115350, testing mseloss: 0.128748
Epoch 96, 96/150, training mseloss: 0.115301, testing mseloss: 0.130308
Epoch 97, 97/150, training mseloss: 0.115234, testing mseloss: 0.140526
Epoch 98, 98/150, training mseloss: 0.115079, testing mseloss: 0.133339
Epoch 99, 99/150, training mseloss: 0.115093, testing mseloss: 0.133103
Epoch 100, 100/150, training mseloss: 0.114924, testing mseloss: 0.127501
Epoch 101, 101/150, training mseloss: 0.114911, testing mseloss: 0.128714
Epoch 102, 102/150, training mseloss: 0.114782, testing mseloss: 0.131712
Epoch 103, 103/150, training mseloss: 0.114714, testing mseloss: 0.129823
Epoch 104, 104/150, training mseloss: 0.114677, testing mseloss: 0.137694
Epoch 105, 105/150, training mseloss: 0.114519, testing mseloss: 0.133715
Epoch 106, 106/150, training mseloss: 0.114519, testing mseloss: 0.131549
Epoch 107, 107/150, training mseloss: 0.114368, testing mseloss: 0.127051
Epoch 108, 108/150, training mseloss: 0.114361, testing mseloss: 0.131540
Epoch 109, 109/150, training mseloss: 0.114282, testing mseloss: 0.134696
Epoch 110, 110/150, training mseloss: 0.114151, testing mseloss: 0.130033
Epoch 111, 111/150, training mseloss: 0.114144, testing mseloss: 0.134296
Epoch 112, 112/150, training mseloss: 0.113982, testing mseloss: 0.129166
Epoch 113, 113/150, training mseloss: 0.114011, testing mseloss: 0.131663
Epoch 114, 114/150, training mseloss: 0.113861, testing mseloss: 0.128004
Epoch 115, 115/150, training mseloss: 0.113824, testing mseloss: 0.130258
Epoch 116, 116/150, training mseloss: 0.113800, testing mseloss: 0.137850
Epoch 117, 117/150, training mseloss: 0.113636, testing mseloss: 0.129314
Epoch 118, 118/150, training mseloss: 0.113655, testing mseloss: 0.131606
Epoch 119, 119/150, training mseloss: 0.113470, testing mseloss: 0.126248
Epoch 120, 120/150, training mseloss: 0.113488, testing mseloss: 0.129248
Epoch 121, 121/150, training mseloss: 0.113399, testing mseloss: 0.129216
Epoch 122, 122/150, training mseloss: 0.113301, testing mseloss: 0.129363
Epoch 123, 123/150, training mseloss: 0.113271, testing mseloss: 0.132729
Epoch 124, 124/150, training mseloss: 0.113108, testing mseloss: 0.129140
Epoch 125, 125/150, training mseloss: 0.113149, testing mseloss: 0.129387
Epoch 126, 126/150, training mseloss: 0.113018, testing mseloss: 0.127396
Epoch 127, 127/150, training mseloss: 0.112998, testing mseloss: 0.129535
Epoch 128, 128/150, training mseloss: 0.112941, testing mseloss: 0.132485
Epoch 129, 129/150, training mseloss: 0.112823, testing mseloss: 0.129286
Epoch 130, 130/150, training mseloss: 0.112820, testing mseloss: 0.129971
Epoch 131, 131/150, training mseloss: 0.112681, testing mseloss: 0.126682
Epoch 132, 132/150, training mseloss: 0.112690, testing mseloss: 0.129725
Epoch 133, 133/150, training mseloss: 0.112585, testing mseloss: 0.129247
Epoch 134, 134/150, training mseloss: 0.112569, testing mseloss: 0.127403
Epoch 135, 135/150, training mseloss: 0.112555, testing mseloss: 0.131524
Epoch 136, 136/150, training mseloss: 0.112352, testing mseloss: 0.128653
Epoch 137, 137/150, training mseloss: 0.112413, testing mseloss: 0.129269
Epoch 138, 138/150, training mseloss: 0.112249, testing mseloss: 0.125839
Epoch 139, 139/150, training mseloss: 0.112238, testing mseloss: 0.128625
Epoch 140, 140/150, training mseloss: 0.112144, testing mseloss: 0.128337
Epoch 141, 141/150, training mseloss: 0.112026, testing mseloss: 0.127350
Epoch 142, 142/150, training mseloss: 0.112010, testing mseloss: 0.129962
Epoch 143, 143/150, training mseloss: 0.111858, testing mseloss: 0.127325
Epoch 144, 144/150, training mseloss: 0.111902, testing mseloss: 0.129625
Epoch 145, 145/150, training mseloss: 0.111763, testing mseloss: 0.127634
Epoch 146, 146/150, training mseloss: 0.111753, testing mseloss: 0.127436
Epoch 147, 147/150, training mseloss: 0.111705, testing mseloss: 0.129316
Epoch 148, 148/150, training mseloss: 0.111553, testing mseloss: 0.127802
Epoch 149, 149/150, training mseloss: 0.111583, testing mseloss: 0.130384
Epoch 150, 150/150, training mseloss: 0.111439, testing mseloss: 0.125588
Model training complete
