NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetaw with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetaw with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.30 MBs,
 --- Num params: 37.812 mil. 
Epoch 82, 82/150, training mseloss: 0.114116, testing mseloss: 0.133980
Epoch 83, 83/150, training mseloss: 0.113847, testing mseloss: 0.133869
Epoch 84, 84/150, training mseloss: 0.113810, testing mseloss: 0.130463
Epoch 85, 85/150, training mseloss: 0.113770, testing mseloss: 0.135105
Epoch 86, 86/150, training mseloss: 0.113520, testing mseloss: 0.132266
Epoch 87, 87/150, training mseloss: 0.113541, testing mseloss: 0.131639
Epoch 88, 88/150, training mseloss: 0.113286, testing mseloss: 0.128243
Epoch 89, 89/150, training mseloss: 0.113325, testing mseloss: 0.130053
Epoch 90, 90/150, training mseloss: 0.113172, testing mseloss: 0.132158
Epoch 91, 91/150, training mseloss: 0.113002, testing mseloss: 0.129143
Epoch 92, 92/150, training mseloss: 0.112973, testing mseloss: 0.135218
Epoch 93, 93/150, training mseloss: 0.112713, testing mseloss: 0.131202
Epoch 94, 94/150, training mseloss: 0.112777, testing mseloss: 0.134352
Epoch 95, 95/150, training mseloss: 0.112555, testing mseloss: 0.128089
Epoch 96, 96/150, training mseloss: 0.112657, testing mseloss: 0.130900
Epoch 97, 97/150, training mseloss: 0.112534, testing mseloss: 0.131089
Epoch 98, 98/150, training mseloss: 0.112309, testing mseloss: 0.130014
Epoch 99, 99/150, training mseloss: 0.112348, testing mseloss: 0.133287
Epoch 100, 100/150, training mseloss: 0.112078, testing mseloss: 0.128730
Epoch 101, 101/150, training mseloss: 0.112193, testing mseloss: 0.132032
Epoch 102, 102/150, training mseloss: 0.111979, testing mseloss: 0.129966
Epoch 103, 103/150, training mseloss: 0.111909, testing mseloss: 0.129715
Epoch 104, 104/150, training mseloss: 0.111905, testing mseloss: 0.132091
Epoch 105, 105/150, training mseloss: 0.111638, testing mseloss: 0.130111
Epoch 106, 106/150, training mseloss: 0.111669, testing mseloss: 0.132644
Epoch 107, 107/150, training mseloss: 0.111462, testing mseloss: 0.128504
Epoch 108, 108/150, training mseloss: 0.111500, testing mseloss: 0.130151
Epoch 109, 109/150, training mseloss: 0.111387, testing mseloss: 0.130014
Epoch 110, 110/150, training mseloss: 0.111231, testing mseloss: 0.128947
Epoch 111, 111/150, training mseloss: 0.111277, testing mseloss: 0.131776
Epoch 112, 112/150, training mseloss: 0.111039, testing mseloss: 0.130440
Epoch 113, 113/150, training mseloss: 0.111145, testing mseloss: 0.131364
Epoch 114, 114/150, training mseloss: 0.110918, testing mseloss: 0.135440
Epoch 115, 115/150, training mseloss: 0.110867, testing mseloss: 0.130301
Epoch 116, 116/150, training mseloss: 0.110835, testing mseloss: 0.130185
Epoch 117, 117/150, training mseloss: 0.110641, testing mseloss: 0.132336
Epoch 118, 118/150, training mseloss: 0.110697, testing mseloss: 0.130670
Epoch 119, 119/150, training mseloss: 0.110454, testing mseloss: 0.130615
Epoch 120, 120/150, training mseloss: 0.110523, testing mseloss: 0.132471
Epoch 121, 121/150, training mseloss: 0.110383, testing mseloss: 0.135444
