NGPUS = 1
Training the global horizontal and global vertical model with features uvtheta with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and global vertical model, with features uvtheta with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.61 MBs,
 --- Num params: 37.893 mil. 
Epoch 82, 82/150, training mseloss: 0.380899, testing mseloss: 0.454423
Epoch 83, 83/150, training mseloss: 0.380391, testing mseloss: 0.445561
Epoch 84, 84/150, training mseloss: 0.380124, testing mseloss: 0.453544
Epoch 85, 85/150, training mseloss: 0.379927, testing mseloss: 0.454174
Epoch 86, 86/150, training mseloss: 0.379274, testing mseloss: 0.448024
Epoch 87, 87/150, training mseloss: 0.379325, testing mseloss: 0.456295
Epoch 88, 88/150, training mseloss: 0.378657, testing mseloss: 0.441895
Epoch 89, 89/150, training mseloss: 0.378553, testing mseloss: 0.454415
Epoch 90, 90/150, training mseloss: 0.378262, testing mseloss: 0.448391
Epoch 91, 91/150, training mseloss: 0.377787, testing mseloss: 0.451073
Epoch 92, 92/150, training mseloss: 0.377767, testing mseloss: 0.457148
Epoch 93, 93/150, training mseloss: 0.377075, testing mseloss: 0.442541
Epoch 94, 94/150, training mseloss: 0.377216, testing mseloss: 0.458614
Epoch 95, 95/150, training mseloss: 0.376638, testing mseloss: 0.444005
Epoch 96, 96/150, training mseloss: 0.376432, testing mseloss: 0.454071
Epoch 97, 97/150, training mseloss: 0.376410, testing mseloss: 0.448760
Epoch 98, 98/150, training mseloss: 0.375820, testing mseloss: 0.448145
Epoch 99, 99/150, training mseloss: 0.375898, testing mseloss: 0.456960
Epoch 100, 100/150, training mseloss: 0.375155, testing mseloss: 0.439708
Epoch 101, 101/150, training mseloss: 0.375242, testing mseloss: 0.455820
Epoch 102, 102/150, training mseloss: 0.374861, testing mseloss: 0.448534
Epoch 103, 103/150, training mseloss: 0.374583, testing mseloss: 0.448184
Epoch 104, 104/150, training mseloss: 0.374442, testing mseloss: 0.443743
Epoch 105, 105/150, training mseloss: 0.373838, testing mseloss: 0.444211
Epoch 106, 106/150, training mseloss: 0.374024, testing mseloss: 0.451908
Epoch 107, 107/150, training mseloss: 0.373385, testing mseloss: 0.442967
Epoch 108, 108/150, training mseloss: 0.373326, testing mseloss: 0.450689
