NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvtheta with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvtheta with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.17 MBs,
 --- Num params: 37.777 mil. 
Epoch 82, 82/150, training mseloss: 0.137745, testing mseloss: 0.158896
Epoch 83, 83/150, training mseloss: 0.137339, testing mseloss: 0.154859
Epoch 84, 84/150, training mseloss: 0.137229, testing mseloss: 0.159207
Epoch 85, 85/150, training mseloss: 0.137052, testing mseloss: 0.164633
Epoch 86, 86/150, training mseloss: 0.136829, testing mseloss: 0.157104
Epoch 87, 87/150, training mseloss: 0.136788, testing mseloss: 0.161695
Epoch 88, 88/150, training mseloss: 0.136400, testing mseloss: 0.154915
Epoch 89, 89/150, training mseloss: 0.136419, testing mseloss: 0.156661
Epoch 90, 90/150, training mseloss: 0.136100, testing mseloss: 0.156335
Epoch 91, 91/150, training mseloss: 0.135901, testing mseloss: 0.157746
Epoch 92, 92/150, training mseloss: 0.135788, testing mseloss: 0.165312
Epoch 93, 93/150, training mseloss: 0.135416, testing mseloss: 0.153828
Epoch 94, 94/150, training mseloss: 0.135406, testing mseloss: 0.161724
Epoch 95, 95/150, training mseloss: 0.135054, testing mseloss: 0.163138
Epoch 96, 96/150, training mseloss: 0.135009, testing mseloss: 0.153372
Epoch 97, 97/150, training mseloss: 0.134806, testing mseloss: 0.155545
Epoch 98, 98/150, training mseloss: 0.134597, testing mseloss: 0.152748
Epoch 99, 99/150, training mseloss: 0.134544, testing mseloss: 0.162439
Epoch 100, 100/150, training mseloss: 0.134204, testing mseloss: 0.155396
Epoch 101, 101/150, training mseloss: 0.134251, testing mseloss: 0.157573
Epoch 102, 102/150, training mseloss: 0.134003, testing mseloss: 0.160232
Epoch 103, 103/150, training mseloss: 0.133900, testing mseloss: 0.153571
Epoch 104, 104/150, training mseloss: 0.133784, testing mseloss: 0.156095
Epoch 105, 105/150, training mseloss: 0.133507, testing mseloss: 0.166378
Epoch 106, 106/150, training mseloss: 0.133515, testing mseloss: 0.158114
