NGPUS = 1
Training the global horizontal and global vertical model with features uvthetaw with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and global vertical model, with features uvthetaw with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.88 MBs,
 --- Num params: 37.963 mil. 
Epoch 82, 82/150, training mseloss: 0.311518, testing mseloss: 0.385124
Epoch 83, 83/150, training mseloss: 0.310911, testing mseloss: 0.378384
Epoch 84, 84/150, training mseloss: 0.310691, testing mseloss: 0.379917
Epoch 85, 85/150, training mseloss: 0.310644, testing mseloss: 0.387747
Epoch 86, 86/150, training mseloss: 0.309964, testing mseloss: 0.376743
Epoch 87, 87/150, training mseloss: 0.310029, testing mseloss: 0.386608
Epoch 88, 88/150, training mseloss: 0.309338, testing mseloss: 0.371780
Epoch 89, 89/150, training mseloss: 0.309300, testing mseloss: 0.384995
Epoch 90, 90/150, training mseloss: 0.308933, testing mseloss: 0.385707
Epoch 91, 91/150, training mseloss: 0.308533, testing mseloss: 0.383755
Epoch 92, 92/150, training mseloss: 0.308528, testing mseloss: 0.393498
Epoch 93, 93/150, training mseloss: 0.307947, testing mseloss: 0.370770
Epoch 94, 94/150, training mseloss: 0.307859, testing mseloss: 0.385823
Epoch 95, 95/150, training mseloss: 0.307326, testing mseloss: 0.372943
Epoch 96, 96/150, training mseloss: 0.307155, testing mseloss: 0.384843
Epoch 97, 97/150, training mseloss: 0.306923, testing mseloss: 0.377468
Epoch 98, 98/150, training mseloss: 0.306554, testing mseloss: 0.379251
Epoch 99, 99/150, training mseloss: 0.306524, testing mseloss: 0.388913
Epoch 100, 100/150, training mseloss: 0.306014, testing mseloss: 0.370709
Epoch 101, 101/150, training mseloss: 0.305935, testing mseloss: 0.379019
Epoch 102, 102/150, training mseloss: 0.305629, testing mseloss: 0.376226
Epoch 103, 103/150, training mseloss: 0.305471, testing mseloss: 0.379970
Epoch 104, 104/150, training mseloss: 0.305344, testing mseloss: 0.381974
Epoch 105, 105/150, training mseloss: 0.304928, testing mseloss: 0.375725
Epoch 106, 106/150, training mseloss: 0.304880, testing mseloss: 0.380406
Epoch 107, 107/150, training mseloss: 0.304435, testing mseloss: 0.370046
Epoch 108, 108/150, training mseloss: 0.304385, testing mseloss: 0.382063
Epoch 109, 109/150, training mseloss: 0.304080, testing mseloss: 0.379209
Epoch 110, 110/150, training mseloss: 0.303763, testing mseloss: 0.379957
Epoch 111, 111/150, training mseloss: 0.303760, testing mseloss: 0.386978
